state,fips,total_population,electoral_votes
Alabama,1067.0,72256.17910447762,9.0
Arizona,4013.866666666667,448571.8,11.0
Arkansas,5075.0,39579.62666666666,6.0
California,6058.0,666451.8275862068,55.0
Colorado,8062.234375,83738.984375,9.0
Connecticut,9008.0,448571.25,7.0
Delaware,10003.0,311565.0,3.0
District of Columbia,11001.0,659009.0,3.0
Florida,12067.910447761195,297529.1194029851,29.0
Georgia,13161.490566037735,63517.735849056604,16.0
Hawaii,15005.0,353395.5,4.0
Idaho,16044.0,37170.068181818184,4.0
Illinois,17102.0,125996.90196078431,20.0
Indiana,18092.0,71625.84782608696,11.0
Iowa,19099.0,31379.68686868687,6.0
Kansas,20105.0,27602.780952380952,6.0
Kentucky,21120.0,36766.575,8.0
Louisiana,22064.0,72588.59375,8.0
Maine,23016.0,83120.1875,4.0
Maryland,24044.958333333332,248329.25,10.0
Massachusetts,25014.0,481581.64285714284,11.0
Michigan,26083.0,119392.77108433735,16.0
Minnesota,27087.0,62653.65517241379,10.0
Mississippi,28082.0,36453.560975609755,6.0
Missouri,29117.71304347826,52692.617391304346,10.0
Montana,30056.0,18274.839285714286,3.0
Nebraska,31093.0,20228.59139784946,5.0
Nevada,32045.529411764706,167010.11764705883,6.0
New Hampshire,33010.0,132750.3,4.0
New Jersey,34021.0,424545.5238095238,14.0
New Mexico,35030.15151515151,63111.181818181816,5.0
New York,36062.0,317700.9193548387,29.0
North Carolina,37100.0,99408.28,15.0
North Dakota,38053.0,13889.849056603774,3.0
Ohio,39088.0,131669.7840909091,18.0
Oklahoma,40077.0,50332.32467532468,7.0
Oregon,41036.0,110618.52777777778,7.0
Pennsylvania,42067.0,190805.62686567163,20.0
Rhode Island,44005.0,210898.2,4.0
South Carolina,45046.0,105100.10869565218,9.0
South Dakota,46067.43076923077,12873.76923076923,3.0
Tennessee,47095.0,68926.41052631578,11.0
Texas,48254.0,106127.6968503937,38.0
Utah,49029.0,101669.89655172414,6.0
Vermont,50014.0,44732.07142857143,3.0
Virginia,51263.99248120301,62483.466165413534,13.0
Washington,53039.0,181362.71794871794,12.0
West Virginia,54055.0,33565.30909090909,5.0
Wisconsin,55071.09722222222,79927.75,10.0
Wyoming,56023.0,25349.08695652174,3.0
